        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	14:46:16
           8	           0	           #	 00:00:00,00	           #	 00:02:42,80	Scuderia Vikings	80080000000000808C
          10	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	         DTM	800A00000000008000
          15	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	Prospeed Slotracing	800F00000000008000
          16	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	Bertrand's Angels	801000000000008000
           1	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	        DSCA	800100000000008010
           2	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	      DTS2.0	800200000000008000
           3	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	SRC Eindhoven 2.0	800300000000008010
           4	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	SportsCarazing	800400000000008000
           5	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	International Racing	800500000000008010
           6	           0	       0 / 0	 00:00:00,00	           #	 00:02:42,80	Slotrace Friends	800600000000008000
           1	           1	       0 / 0	 00:00:12,78	           #	 00:00:13,00	        DSCA	800104F5000100B910
           5	           1	       1 / 1	 00:00:13,21	           #	 00:00:13,34	International Racing	80050520000100CD8C
          16	           1	       1 / 1	 00:00:13,34	           #	 00:00:13,47	Bertrand's Angels	8010052C000100800F
           2	           1	       1 / 1	 00:00:13,47	           #	 00:00:13,60	      DTS2.0	800205390001009C10
           6	           1	       1 / 1	 00:00:13,86	           #	 00:00:13,94	Slotrace Friends	80060560000100C310
           4	           1	       0 / 0	 00:00:13,96	           #	 00:00:13,93	SportsCarazing	8004056A000100A68C
           8	           1	       1 / 1	 00:00:14,98	           #	 00:00:14,87	Scuderia Vikings	800805CF0001009E10
          10	           1	       1 / 1	 00:00:16,67	           #	 00:00:16,69	         DTM	800A0677000100B710
          15	           1	       1 / 1	 00:00:18,04	           #	 00:00:17,95	Prospeed Slotracing	800F06FF0001009C10
           3	           1	       1 / 1	 00:00:19,04	           #	 00:00:19,00	SRC Eindhoven 2.0	80030762000100B310
           1	           1	       1 / 1	 00:00:13,68	 00:00:13,68	 00:00:26,47	        DSCA	8001054E0002009F10
           2	           1	       1 / 1	 00:00:13,70	 00:00:13,70	 00:00:27,08	      DTS2.0	80020550000200B28C
           5	           1	       1 / 1	 00:00:13,76	 00:00:13,76	 00:00:27,10	International Racing	80050556000200E410
          16	           1	       1 / 1	 00:00:13,93	 00:00:13,93	 00:00:27,24	Bertrand's Angels	80100567000200D00F
           6	           1	       1 / 1	 00:00:13,67	 00:00:13,67	 00:00:27,71	Slotrace Friends	8006054D000200C78C
