        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
           8	           1	           #	 00:03:12.97	           #	 00:00:00.00	      Exiles	80084AD1000100A410
           1	           1	       1 / 1	 00:03:46.83	           #	 00:00:00.29	Sports Carazing	800157F1000100B912
           6	           1	       1 / 1	 00:03:08.67	           #	 00:00:00.34	Eurolink Racing	80064926000100B18C
           9	           1	       1 / 1	 00:03:17.10	           #	 00:00:00.69	Hyper Monkeys	80094C6B000100B910
          10	           1	       1 / 1	 00:04:37.29	           #	 00:00:01.00	      Wolves	800A6B82000100D912
          11	           1	       1 / 1	 00:00:41.70	           #	 00:00:01.01	        DSCA	800B102B000100A710
          15	           1	       1 / 1	 00:04:16.44	           #	 00:00:01.65	   Garage 27	800F636C000100938A
           4	           1	       0 / 0	 00:02:33.71	           #	 00:00:01.52	El Kapito Dents	80043B98000100C610
           8	           1	       1 / 1	 00:00:12.67	 00:00:12.67	 00:00:12.33	      Exiles	800804EA000200FF10
           1	           1	       1 / 1	 00:00:12.50	 00:00:12.50	 00:00:12.86	Sports Carazing	800104D9000200FF8C
           6	           1	       1 / 1	 00:00:12.76	 00:00:12.76	 00:00:13.21	Eurolink Racing	800604F3000200FF10
           9	           1	       1 / 1	 00:00:12.65	 00:00:12.65	 00:00:13.26	Hyper Monkeys	800904E8000200FF8C
          10	           1	       1 / 1	 00:00:12.61	 00:00:12.61	 00:00:13.57	      Wolves	800A04E4000200FF8C
          15	           1	       1 / 1	 00:00:11.97	 00:00:11.97	 00:00:13.62	   Garage 27	800F04A5000200FF10
          11	           1	       1 / 1	 00:00:12.82	 00:00:12.82	 00:00:13.88	        DSCA	800B04F9000200FF8C
           4	           1	       1 / 1	 00:00:12.62	 00:00:12.62	 00:00:14.09	El Kapito Dents	800404E5000200FF10
           1	           2	       0 / 0	 00:00:09.11	 00:00:09.11	 00:00:21.84	Sports Carazing	80010389000300FF8C
           8	           2	       1 / 1	 00:00:09.42	 00:00:09.42	 00:00:21.91	      Exiles	800803A7000300FF8C
           6	           2	       1 / 1	 00:00:09.05	 00:00:09.05	 00:00:22.19	Eurolink Racing	80060383000300FF10
           9	           2	       1 / 1	 00:00:09.74	 00:00:09.74	 00:00:22.84	Hyper Monkeys	800903C7000300FF8C
          10	           2	       1 / 1	 00:00:09.84	 00:00:09.84	 00:00:23.45	      Wolves	800A03D1000300FF8C
          15	           2	       1 / 1	 00:00:09.95	 00:00:09.95	 00:00:23.50	   Garage 27	800F03DC000300FF10
          11	           2	       1 / 1	 00:00:09.77	 00:00:09.77	 00:00:23.76	        DSCA	800B03CA000300FF8C
           4	           2	       1 / 1	 00:00:11.14	 00:00:11.14	 00:00:25.16	El Kapito Dents	81040452000300FF10
           1	           3	       0 / 0	 00:00:09.28	 00:00:09.11	 00:00:31.12	Sports Carazing	8001039A000400FF8C
           8	           3	       1 / 1	 00:00:09.28	 00:00:09.28	 00:00:31.19	      Exiles	8008039A000400FF8C
           6	           3	       1 / 1	 00:00:09.31	 00:00:09.05	 00:00:31.47	Eurolink Racing	8006039D000400FF10
          10	           3	       1 / 1	 00:00:09.35	 00:00:09.35	 00:00:32.72	      Wolves	800A03A0000400FF8C
          15	           3	       1 / 1	 00:00:09.83	 00:00:09.83	 00:00:33.37	   Garage 27	800F03D0000400FF10
           9	           3	       1 / 1	 00:00:10.82	 00:00:09.74	 00:00:33.61	Hyper Monkeys	80090432000400FF8C
          11	           3	       1 / 1	 00:00:10.25	 00:00:09.77	 00:00:33.93	        DSCA	800B03FA000400FF8C
