        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	08:49:58
           8	        1	     40 / 40	 00:02:39.29	 00:00:08.12	 00:00:05.82	      Exiles	80083DC2000100FF8C
          10	        1	     62 / 23	 00:02:49.86	 00:00:08.27	 00:00:06.16	      Wolves	800A41DB000100FF8C
          15	        1	    113 / 52	 00:02:36.24	 00:00:08.57	 00:00:09.50	   Garage 27	800F3C93000100FF10
           6	        1	    162 / 49	 00:03:17.64	 00:00:08.24	 00:00:10.89	Eurolink Racing	80064CA0000100FF10
           9	        1	       0 / 0	 00:00:00.00	 00:00:07.90	 00:00:11.24	Hyper Monkeys	8009FFFC000100FF8C
           4	        1	    219 / 56	 00:00:00.00	 00:00:08.09	 00:00:11.47	El Kapito Dents	8004FFFC000100FF8C
          11	        1	    114 / 51	 00:10:03.19	 00:00:08.12	 00:00:11.86	        DSCA	800BE9DB000100FF8C
           8	        2354	     40 / 40	 00:00:09.71	 00:00:08.12	 00:00:15.40	      Exiles	800803C4000200FF10
          15	        2281	    113 / 51	 00:00:09.11	 00:00:08.57	 00:00:18.78	   Garage 27	800F0389000200FF10
           6	        2232	    162 / 49	 00:00:09.74	 00:00:08.24	 00:00:20.46	Eurolink Racing	800603C7000200FF10
           9	        2394	       0 / 0	 00:00:09.44	 00:00:07.90	 00:00:20.51	Hyper Monkeys	800903A9000200FF8C
           4	        2176	    219 / 57	 00:00:09.76	 00:00:08.09	 00:00:21.04	El Kapito Dents	800403C9000200FF8C
          11	        2281	     114 / 1	 00:00:09.54	 00:00:08.12	 00:00:21.13	        DSCA	800B03B3000200FF8C
           8	        2355	     40 / 40	 00:00:09.17	 00:00:08.12	 00:00:24.67	      Exiles	8008038F000300FF8C
          15	        2282	    113 / 50	 00:00:09.08	 00:00:08.57	 00:00:27.76	   Garage 27	800F0386000300FF8A
           6	        2233	    162 / 49	 00:00:09.44	 00:00:08.24	 00:00:30.04	Eurolink Racing	800603A9000300FF8C
          11	        2282	     113 / 1	 00:00:09.10	 00:00:08.12	 00:00:30.41	        DSCA	800B0388000300FF10
           4	        2177	    218 / 57	 00:00:09.60	 00:00:08.09	 00:00:30.62	El Kapito Dents	800403B9000300FF10
           8	        2356	     39 / 39	 00:00:08.95	 00:00:08.12	 00:00:33.65	      Exiles	80080379000400FF8C
          15	        2283	    112 / 49	 00:00:08.86	 00:00:08.57	 00:00:36.43	   Garage 27	800F0370000400FF10
           9	        2395	       0 / 0	 00:00:15.94	 00:00:07.90	 00:00:36.97	Hyper Monkeys	8009062F000300FF10
           4	        2178	    218 / 56	 00:00:09.22	 00:00:08.09	 00:00:39.90	El Kapito Dents	80040394000400FF10
           6	        2234	    162 / 49	 00:00:11.72	 00:00:08.24	 00:00:41.71	Eurolink Racing	8006048C000400FF10
           8	        2357	     39 / 39	 00:00:09.25	 00:00:08.12	 00:00:42.63	      Exiles	80080397000500FF8C
          11	        2283	     113 / 1	 00:00:12.23	 00:00:08.12	 00:00:42.68	        DSCA	800B04BE000400FF8C
          15	        2284	    112 / 48	 00:00:08.84	 00:00:08.57	 00:00:45.41	   Garage 27	800F036E000500FF8A
           9	        2396	       0 / 0	 00:00:09.25	 00:00:07.90	 00:00:45.65	Hyper Monkeys	80090397000400FF10
           4	        2179	    218 / 56	 00:00:08.93	 00:00:08.09	 00:00:48.87	El Kapito Dents	80040377000500FF8C
           6	        2235	    162 / 49	 00:00:09.50	 00:00:08.24	 00:00:50.99	Eurolink Racing	800603AF000500FF10
          11	        2284	     113 / 1	 00:00:08.92	 00:00:08.12	 00:00:51.36	        DSCA	800B0376000500FF8C
           8	        2358	     39 / 39	 00:00:09.32	 00:00:08.12	 00:00:52.20	      Exiles	8008039E000600FF8C
          15	        2285	    112 / 47	 00:00:08.71	 00:00:08.57	 00:00:54.09	   Garage 27	800F0361000600FF10
           9	        2397	       0 / 0	 00:00:09.19	 00:00:07.90	 00:00:54.93	Hyper Monkeys	80090391000500FF8C
           4	        2180	    218 / 56	 00:00:08.92	 00:00:08.09	 00:00:57.85	El Kapito Dents	80040376000600FF8C
           6	        2236	    162 / 49	 00:00:09.22	 00:00:08.24	 00:01:00.26	Eurolink Racing	80060394000600FF10
          11	        2285	     113 / 1	 00:00:09.02	 00:00:08.12	 00:01:00.63	        DSCA	800B0380000600FF8C
           8	        2359	     39 / 39	 00:00:08.98	 00:00:08.12	 00:01:01.18	      Exiles	8008037C000700FF8C
          15	        2286	    112 / 46	 00:00:08.78	 00:00:08.57	 00:01:02.77	   Garage 27	800F0368000700FF10
           9	        2398	       0 / 0	 00:00:09.26	 00:00:07.90	 00:01:04.20	Hyper Monkeys	80090398000600FF8C
           4	        2181	    218 / 56	 00:00:08.84	 00:00:08.09	 00:01:06.53	El Kapito Dents	8004036E000700FF10
           6	        2237	    162 / 49	 00:00:09.28	 00:00:08.24	 00:01:09.54	Eurolink Racing	8006039A000700FF8C
          11	        2286	     113 / 1	 00:00:09.17	 00:00:08.12	 00:01:09.61	        DSCA	800B038F000700FF10
          15	        2287	    112 / 45	 00:00:08.84	 00:00:08.57	 00:01:11.75	   Garage 27	800F036E000800FF8A
           9	        2399	       0 / 0	 00:00:09.01	 00:00:07.90	 00:01:13.18	Hyper Monkeys	8009037F000700FF8C
           8	        2360	     40 / 40	 00:00:13.04	 00:00:08.12	 00:01:14.05	      Exiles	8008050F000800FF8C
           4	        2182	    218 / 56	 00:00:08.87	 00:00:08.09	 00:01:15.51	El Kapito Dents	80040371000800FF8C
          11	        2287	     113 / 1	 00:00:09.65	 00:00:08.12	 00:01:19.19	        DSCA	800B03BE000800FF8C
           6	        2238	    162 / 50	 00:00:10.13	 00:00:08.24	 00:01:19.72	Eurolink Racing	800603EE000800FF10
          10	        2332	     68 / 29	 00:01:13.98	 00:00:08.27	 00:01:20.07	      Wolves	800A1CAF000200C38C
          15	        2288	    112 / 45	 00:00:09.17	 00:00:08.57	 00:01:20.72	   Garage 27	800F038F000900FF10
           9	        2400	       0 / 0	 00:00:08.78	 00:00:07.90	 00:01:21.86	Hyper Monkeys	80090368000800FF8C
           8	        2361	     40 / 40	 00:00:09.28	 00:00:08.12	 00:01:23.33	      Exiles	8008039A000900FF8C
           4	        2183	    218 / 56	 00:00:08.78	 00:00:08.09	 00:01:24.18	El Kapito Dents	80040368000900FF8C
          11	        2288	     113 / 1	 00:00:08.95	 00:00:08.12	 00:01:28.16	        DSCA	800B0379000900FF8C
           6	        2239	    162 / 50	 00:00:09.62	 00:00:08.24	 00:01:29.29	Eurolink Racing	800603BB000900FF8C
          10	        2333	     68 / 29	 00:00:09.83	 00:00:08.27	 00:01:29.65	      Wolves	800A03D0000300FF12
          15	        2289	    112 / 45	 00:00:08.80	 00:00:08.57	 00:01:29.70	   Garage 27	800F036A000A00FF8A
           8	        2362	     39 / 39	 00:00:09.17	 00:00:08.12	 00:01:32.60	      Exiles	8008038F000A00FF10
           4	        2184	    217 / 56	 00:00:08.71	 00:00:08.09	 00:01:32.86	El Kapito Dents	80040361000A00FF10
           9	        2401	       0 / 0	 00:00:11.45	 00:00:07.90	 00:01:33.53	Hyper Monkeys	80090471000900B310
          11	        2289	     113 / 1	 00:00:08.63	 00:00:08.12	 00:01:36.84	        DSCA	800B0359000A00FF10
           6	        2240	    162 / 50	 00:00:09.56	 00:00:08.24	 00:01:38.87	Eurolink Racing	800603B5000A00FF10
          10	        2334	     68 / 29	 00:00:09.01	 00:00:08.27	 00:01:38.93	      Wolves	800A037F000400FF8C
          15	        2290	    112 / 45	 00:00:09.56	 00:00:08.57	 00:01:39.28	   Garage 27	800F03B5000B00FF10
           8	        2363	     39 / 39	 00:00:08.77	 00:00:08.12	 00:01:41.28	      Exiles	80080367000B00FF8C
           4	        2185	    217 / 56	 00:00:08.78	 00:00:08.09	 00:01:41.84	El Kapito Dents	80040368000B00FF8C
           9	        2402	       0 / 0	 00:00:10.15	 00:00:07.90	 00:01:43.71	Hyper Monkeys	800903F0000A00FF8C
          11	        2290	     113 / 1	 00:00:08.81	 00:00:08.12	 00:01:45.52	        DSCA	800B036B000B00FF8C
          10	        2335	     68 / 29	 00:00:08.72	 00:00:08.27	 00:01:47.61	      Wolves	800A0362000500FF8C
           6	        2241	    162 / 50	 00:00:09.29	 00:00:08.24	 00:01:48.14	Eurolink Racing	8006039B000B00FF10
          15	        2291	    112 / 45	 00:00:09.11	 00:00:08.57	 00:01:48.25	   Garage 27	800F0389000C00FF10
           9	        2403	       0 / 0	 00:00:09.23	 00:00:07.90	 00:01:52.68	Hyper Monkeys	80090395000B00FF8C
           4	        2186	    218 / 56	 00:00:11.84	 00:00:08.09	 00:01:53.51	El Kapito Dents	80040498000C00FF10
           8	        2364	     40 / 40	 00:00:12.59	 00:00:08.12	 00:01:53.85	      Exiles	800804E2000C00AD10
          11	        2291	     113 / 1	 00:00:08.60	 00:00:08.12	 00:01:54.20	        DSCA	800B0356000C00FF10
          10	        2336	     68 / 29	 00:00:08.90	 00:00:08.27	 00:01:56.28	      Wolves	800A0374000600FF12
          15	        2292	    112 / 45	 00:00:09.28	 00:00:08.57	 00:01:57.53	   Garage 27	800F039A000D00FF8A
           6	        2242	    162 / 50	 00:00:09.56	 00:00:08.24	 00:01:57.72	Eurolink Racing	800603B5000C00FF8C
           9	        2404	       0 / 0	 00:00:09.14	 00:00:07.90	 00:02:01.96	Hyper Monkeys	8009038C000C00FF8C
           4	        2187	    218 / 56	 00:00:09.01	 00:00:08.09	 00:02:02.49	El Kapito Dents	8004037F000D00FF8C
           8	        2365	     40 / 40	 00:00:09.28	 00:00:08.12	 00:02:03.13	      Exiles	8008039A000D00FF10
          11	        2292	     113 / 1	 00:00:09.01	 00:00:08.12	 00:02:03.18	        DSCA	800B037F000D00FF10
          10	        2337	     68 / 29	 00:00:08.63	 00:00:08.27	 00:02:04.96	      Wolves	800A0359000700FF12
           6	        2243	    162 / 50	 00:00:09.71	 00:00:08.24	 00:02:07.30	Eurolink Racing	800603C4000D00FF8C
          15	        2293	    112 / 45	 00:00:09.86	 00:00:08.57	 00:02:07.41	   Garage 27	800F03D3000E00FF8A
           9	        2405	       0 / 0	 00:00:09.07	 00:00:07.90	 00:02:10.94	Hyper Monkeys	80090385000D00FF8C
           4	        2188	    218 / 56	 00:00:09.44	 00:00:08.09	 00:02:12.06	El Kapito Dents	800403A9000E00FF10
           8	        2366	     40 / 40	 00:00:09.14	 00:00:08.12	 00:02:12.10	      Exiles	8008038C000E00FF10
          11	        2293	     113 / 1	 00:00:09.02	 00:00:08.12	 00:02:12.15	        DSCA	800B0380000E00FF10
          10	        2338	     68 / 29	 00:00:08.74	 00:00:08.27	 00:02:13.64	      Wolves	800A0364000800FF12
           6	        2244	    162 / 50	 00:00:09.59	 00:00:08.24	 00:02:16.87	Eurolink Racing	800603B8000E00FF10
          15	        2294	    112 / 45	 00:00:09.92	 00:00:08.57	 00:02:17.28	   Garage 27	800F03D9000F00FF10
           9	        2406	       0 / 0	 00:00:09.19	 00:00:07.90	 00:02:20.21	Hyper Monkeys	80090391000E00FF8C
           4	        2189	    218 / 56	 00:00:09.59	 00:00:08.09	 00:02:21.64	El Kapito Dents	800403B8000F00FF8C
           8	        2367	     40 / 40	 00:00:09.53	 00:00:08.12	 00:02:21.68	      Exiles	800803B2000F00FF8C
          11	        2294	     113 / 1	 00:00:09.56	 00:00:08.12	 00:02:21.73	        DSCA	800B03B5000F00FF8C
          10	        2339	     68 / 29	 00:00:08.81	 00:00:08.27	 00:02:22.62	      Wolves	800A036B000900FF8C
          15	        2295	    112 / 45	 00:00:09.11	 00:00:08.57	 00:02:26.56	   Garage 27	800F0389001000FF10
           6	        2245	    162 / 50	 00:00:09.47	 00:00:08.24	 00:02:26.75	Eurolink Racing	800603AC000F00FF10
           9	        2407	       0 / 0	 00:00:08.93	 00:00:07.90	 00:02:29.19	Hyper Monkeys	80090377000F00FF10
           4	        2190	    218 / 56	 00:00:08.75	 00:00:08.09	 00:02:30.32	El Kapito Dents	80040365001000FF10
           8	        2368	     40 / 40	 00:00:08.95	 00:00:08.12	 00:02:30.66	      Exiles	80080379001000FF10
          11	        2295	     113 / 1	 00:00:09.31	 00:00:08.12	 00:02:31.01	        DSCA	800B039D001000FF10
          10	        2340	     68 / 29	 00:00:08.72	 00:00:08.27	 00:02:31.30	      Wolves	800A0362000A00FF12
          15	        2296	    112 / 45	 00:00:09.07	 00:00:08.57	 00:02:35.54	   Garage 27	800F0385001100FF10
           6	        2246	    162 / 50	 00:00:11.57	 00:00:08.24	 00:02:38.12	Eurolink Racing	8006047D001000FF8C
           9	        2408	       0 / 0	 00:00:09.04	 00:00:07.90	 00:02:38.17	Hyper Monkeys	80090382001000FF10
           4	        2191	    218 / 56	 00:00:09.05	 00:00:08.09	 00:02:39.30	El Kapito Dents	81040383001100FF8C
           8	        2369	     40 / 40	 00:00:09.05	 00:00:08.12	 00:02:39.64	      Exiles	80080383001100FF8C
          10	        2341	     68 / 29	 00:00:08.87	 00:00:08.27	 00:02:39.98	      Wolves	800A0371000B00FF8C
          11	        2296	     113 / 1	 00:00:08.93	 00:00:08.12	 00:02:39.99	        DSCA	800B0377001100FF8C
          15	        2297	    112 / 45	 00:00:09.02	 00:00:08.57	 00:02:44.51	   Garage 27	800F0380001200FF10
           9	        2409	       0 / 0	 00:00:09.08	 00:00:07.90	 00:02:47.15	Hyper Monkeys	80090386001100FF8C
           6	        2247	    163 / 50	 00:00:09.44	 00:00:08.24	 00:02:47.40	Eurolink Racing	800603A9001100FF10
           4	        2192	    218 / 56	 00:00:09.44	 00:00:08.09	 00:02:48.87	El Kapito Dents	800403A9001200FF10
          11	        2297	     113 / 1	 00:00:09.83	 00:00:08.12	 00:02:49.86	        DSCA	800B03D0001200FF10
          10	        2342	     68 / 28	 00:00:10.39	 00:00:08.27	 00:02:50.45	      Wolves	800A0408000C00C112
           8	        2370	     40 / 40	 00:00:11.86	 00:00:08.12	 00:02:51.61	      Exiles	8008049A001200FF10
          15	        2298	    112 / 45	 00:00:08.74	 00:00:08.57	 00:02:53.19	   Garage 27	800F0364001300FF8A
           9	        2410	       0 / 0	 00:00:09.10	 00:00:07.90	 00:02:56.42	Hyper Monkeys	80090388001200FF8C
           6	        2248	    163 / 50	 00:00:09.35	 00:00:08.24	 00:02:56.67	Eurolink Racing	800603A0001200FF8C
          11	        2298	     113 / 1	 00:00:09.62	 00:00:08.12	 00:02:59.44	        DSCA	800B03BB001300FF8C
          10	        2343	     68 / 28	 00:00:09.83	 00:00:08.27	 00:03:00.32	      Wolves	800A03D0000D00FF8C
           4	        2193	    218 / 56	 00:00:12.11	 00:00:08.09	 00:03:00.84	El Kapito Dents	800404B2001300FF8C
