        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	     Tainted	         Pit

START	15:59:05
           2	           1	           #	 00:00:12,77	           #	 00:00:12,87	Src Eindhoven 2.0	           0	           0
           5	           1	       1 / 1	 00:00:13,23	           #	 00:00:13,20	         H&B	           0	           0
          15	           1	       1 / 1	 00:00:13,07	           #	 00:00:13,32	Gentlemen Drivers	           0	           0
           3	           1	       1 / 1	 00:00:13,56	           #	 00:00:13,78	         DTM	           0	           0
           6	           1	       1 / 1	 00:00:14,04	           #	 00:00:14,11	S-Slot Racing	           0	           0
           7	           1	       1 / 1	 00:00:14,21	           #	 00:00:14,42	D&T Motorsport	           0	           0
           4	           1	       1 / 1	 00:00:14,63	           #	 00:00:14,69	 Gas Monkeys	           0	           0
          11	           1	       1 / 1	 00:00:15,17	           #	 00:00:15,38	    DSCA G&G	           0	           0
          13	           1	       1 / 1	 00:00:15,32	           #	 00:00:15,40	PT Motorsport	           0	           0
          18	           1	       1 / 1	 00:00:15,00	           #	 00:00:15,47	DTM Les Fous	           0	           0
          14	           1	       1 / 1	 00:00:16,37	           #	 00:00:16,60	    DSCA K&Q	           0	           0
           8	           1	       1 / 1	 00:00:16,98	           #	 00:00:17,12	Slipstream Rascals	           0	           0
           1	           1	       1 / 1	 00:00:17,23	           #	 00:00:17,35	Slotracefriends 1	           0	           0
          16	           1	       1 / 1	 00:00:17,74	           #	 00:00:17,82	    Prospeed	           0	           0
           9	           1	       1 / 1	 00:00:18,76	           #	 00:00:18,95	Verschaeve Racing	           0	           0
          12	           1	       1 / 1	 00:00:20,99	           #	 00:00:21,07	Slotracefriends Juni	           0	           0
           2	           1	       1 / 1	 00:00:18,58	 00:00:18,58	 00:00:31,43	Src Eindhoven 2.0	           0	           0
          15	           1	       1 / 1	 00:00:18,68	 00:00:18,68	 00:00:31,88	Gentlemen Drivers	           0	           0
           5	           1	       1 / 1	 00:00:18,80	 00:00:18,80	 00:00:32,05	         H&B	           0	           0
           6	           1	       1 / 1	 00:00:17,95	 00:00:17,95	 00:00:32,06	S-Slot Racing	           0	           0
           3	           1	       1 / 1	 00:00:18,76	 00:00:18,76	 00:00:32,33	         DTM	           0	           0
           7	           1	       1 / 1	 00:00:18,24	 00:00:18,24	 00:00:32,67	D&T Motorsport	           0	           0
          18	           1	       1 / 1	 00:00:18,39	 00:00:18,39	 00:00:33,42	DTM Les Fous	           0	           0
           4	           1	       1 / 1	 00:00:18,86	 00:00:18,86	 00:00:33,54	 Gas Monkeys	           0	           0
          13	           1	       1 / 1	 00:00:18,28	 00:00:18,28	 00:00:33,65	PT Motorsport	           0	           0
           8	           1	       1 / 1	 00:00:16,85	 00:00:16,85	 00:00:33,88	Slipstream Rascals	           0	           0
          11	           1	       1 / 1	 00:00:18,88	 00:00:18,88	 00:00:34,23	    DSCA G&G	           0	           0
          14	           1	       1 / 1	 00:00:17,74	 00:00:17,74	 00:00:34,26	    DSCA K&Q	           0	           0
           9	           1	       1 / 1	 00:00:15,63	 00:00:15,63	 00:00:34,51	Verschaeve Racing	           0	           0
          16	           1	       1 / 1	 00:00:16,90	 00:00:16,90	 00:00:34,58	    Prospeed	           0	           0
           1	           1	       1 / 1	 00:00:17,17	 00:00:17,17	 00:00:34,71	Slotracefriends 1	           0	           0
          12	           1	       1 / 1	 00:00:14,47	 00:00:14,47	 00:00:36,03	Slotracefriends Juni	           0	           0
          15	           2	       0 / 0	 00:00:19,63	 00:00:18,68	 00:00:51,33	Gentlemen Drivers	           0	           0
           2	           2	       1 / 1	 00:00:19,94	 00:00:18,58	 00:00:51,48	Src Eindhoven 2.0	           0	           0
           5	           2	       1 / 1	 00:00:19,56	 00:00:18,80	 00:00:51,51	         H&B	           0	           0
           6	           2	       1 / 1	 00:00:19,42	 00:00:17,95	 00:00:51,52	S-Slot Racing	           0	           0
           3	           2	       1 / 1	 00:00:19,27	 00:00:18,76	 00:00:51,79	         DTM	           0	           0
           7	           2	       1 / 1	 00:00:19,16	 00:00:18,24	 00:00:51,83	D&T Motorsport	           0	           0
          11	           2	       1 / 1	 00:00:17,89	 00:00:17,89	 00:00:51,89	    DSCA G&G	           0	           0
          18	           2	       1 / 1	 00:00:18,43	 00:00:18,39	 00:00:51,98	DTM Les Fous	           0	           0
          13	           2	       1 / 1	 00:00:18,22	 00:00:18,22	 00:00:52,20	PT Motorsport	           0	           0
           1	           2	       1 / 1	 00:00:18,01	 00:00:17,17	 00:00:52,36	Slotracefriends 1	           0	           0
           9	           2	       1 / 1	 00:00:18,04	 00:00:15,63	 00:00:52,46	Verschaeve Racing	           0	           0
          12	           2	       0 / 0	 00:00:17,31	 00:00:14,47	 00:00:52,79	Slotracefriends Juni	           0	           0
          14	           2	       0 / 0	 00:00:18,22	 00:00:17,74	 00:00:52,51	    DSCA K&Q	           0	           0
          16	           2	       0 / 0	 00:00:18,06	 00:00:16,90	 00:00:52,83	    Prospeed	           0	           0
           4	           2	       1 / 1	 00:00:23,22	 00:00:18,86	 00:00:56,88	 Gas Monkeys	           0	           0
           8	           2	       1 / 1	 00:00:25,48	 00:00:16,85	 00:00:59,32	Slipstream Rascals	           0	           0
           6	           3	       0 / 0	 00:00:13,16	 00:00:13,16	 00:01:04,68	S-Slot Racing	           0	           0
           7	           3	       1 / 1	 00:00:13,84	 00:00:13,84	 00:01:05,59	D&T Motorsport	           0	           0
          18	           3	       1 / 1	 00:00:13,94	 00:00:13,94	 00:01:05,74	DTM Les Fous	           0	           0
          13	           3	       1 / 1	 00:00:14,12	 00:00:14,12	 00:01:06,27	PT Motorsport	           0	           0
           3	           3	       1 / 1	 00:00:14,84	 00:00:14,84	 00:01:06,45	         DTM	           0	           0
          11	           3	       1 / 1	 00:00:14,15	 00:00:14,15	 00:01:06,55	    DSCA G&G	           0	           0
          12	           3	       1 / 1	 00:00:14,12	 00:00:14,12	 00:01:06,86	Slotracefriends Juni	           0	           0
           5	           3	       1 / 1	 00:00:15,41	 00:00:15,41	 00:01:07,07	         H&B	           0	           0
          16	           3	       1 / 1	 00:00:14,51	 00:00:14,51	 00:01:07,20	    Prospeed	           0	           0
           9	           3	       1 / 1	 00:00:14,87	 00:00:14,87	 00:01:07,43	Verschaeve Racing	           0	           0
           2	           3	       1 / 1	 00:00:17,91	 00:00:17,91	 00:01:09,43	Src Eindhoven 2.0	           0	           0
           4	           3	       1 / 1	 00:00:12,94	 00:00:12,94	 00:01:09,75	 Gas Monkeys	           0	           0
          15	           3	       1 / 1	 00:00:19,23	 00:00:18,68	 00:01:10,78	Gentlemen Drivers	           0	           0
          14	           3	       1 / 1	 00:00:18,79	 00:00:17,74	 00:01:11,07	    DSCA K&Q	           0	           0
           1	           3	       1 / 1	 00:00:20,32	 00:00:17,17	 00:01:13,01	Slotracefriends 1	           0	           0
           6	           4	       0 / 0	 00:00:13,18	 00:00:13,16	 00:01:17,85	S-Slot Racing	           0	           0
           7	           4	       1 / 1	 00:00:13,07	 00:00:13,07	 00:01:18,46	D&T Motorsport	           0	           0
          18	           4	       1 / 1	 00:00:13,24	 00:00:13,24	 00:01:18,91	DTM Les Fous	           0	           0
           3	           4	       1 / 1	 00:00:12,62	 00:00:12,62	 00:01:19,02	         DTM	           0	           0
          11	           4	       1 / 1	 00:00:13,40	 00:00:13,40	 00:01:19,42	    DSCA G&G	           0	           0
           9	           4	       1 / 1	 00:00:13,31	 00:00:13,31	 00:01:20,59	Verschaeve Racing	           0	           0
           5	           4	       1 / 1	 00:00:13,93	 00:00:13,93	 00:01:20,83	         H&B	           0	           0
           8	           3	       2 / 1	 00:00:21,49	 00:00:16,85	 00:01:20,86	Slipstream Rascals	           0	           0
          16	           4	       1 / 1	 00:00:13,79	 00:00:13,79	 00:01:20,96	    Prospeed	           0	           0
          13	           4	       1 / 1	 00:00:16,07	 00:00:14,12	 00:01:22,13	PT Motorsport	           0	           0
           4	           4	       1 / 1	 00:00:12,95	 00:00:12,94	 00:01:22,62	 Gas Monkeys	           0	           0
           2	           4	       1 / 1	 00:00:14,47	 00:00:14,47	 00:01:23,80	Src Eindhoven 2.0	           0	           0
          15	           4	       1 / 1	 00:00:14,06	 00:00:14,06	 00:01:24,54	Gentlemen Drivers	           0	           0
          12	           4	       1 / 1	 00:00:17,80	 00:00:14,12	 00:01:24,81	Slotracefriends Juni	           0	           0
           1	           4	       1 / 1	 00:00:14,81	 00:00:14,81	 00:01:27,68	Slotracefriends 1	           0	           0
          14	           4	       1 / 1	 00:00:17,28	 00:00:17,28	 00:01:29,32	    DSCA K&Q	           0	           0
           6	           5	       0 / 0	 00:00:12,79	 00:00:12,79	 00:01:30,42	S-Slot Racing	           0	           0
           7	           5	       1 / 1	 00:00:12,82	 00:00:12,82	 00:01:31,33	D&T Motorsport	           0	           0
           3	           5	       1 / 1	 00:00:12,40	 00:00:12,40	 00:01:31,59	         DTM	           0	           0
          18	           5	       1 / 1	 00:00:12,91	 00:00:12,91	 00:01:31,78	DTM Les Fous	           0	           0
          11	           5	       1 / 1	 00:00:13,06	 00:00:13,06	 00:01:32,58	    DSCA G&G	           0	           0
           9	           5	       1 / 1	 00:00:13,00	 00:00:13,00	 00:01:33,46	Verschaeve Racing	           0	           0
          16	           5	       1 / 1	 00:00:13,06	 00:00:13,06	 00:01:34,13	    Prospeed	           0	           0
          13	           5	       1 / 1	 00:00:13,09	 00:00:13,09	 00:01:35,30	PT Motorsport	           0	           0
           5	           5	       1 / 1	 00:00:16,07	 00:00:13,93	 00:01:36,99	         H&B	           0	           0
           8	           4	       2 / 1	 00:00:16,54	 00:00:16,54	 00:01:37,32	Slipstream Rascals	           0	           0
           2	           5	       1 / 1	 00:00:14,39	 00:00:14,39	 00:01:38,16	Src Eindhoven 2.0	           0	           0
          12	           5	       0 / 0	 00:00:13,64	 00:00:13,64	 00:01:38,28	Slotracefriends Juni	           0	           0
           4	           5	       0 / 0	 00:00:16,12	 00:00:12,94	 00:01:38,78	 Gas Monkeys	           0	           0
           1	           5	       1 / 1	 00:00:14,29	 00:00:14,29	 00:01:41,74	Slotracefriends 1	           0	           0
          15	           5	       1 / 1	 00:00:17,41	 00:00:14,06	 00:01:42,20	Gentlemen Drivers	           0	           0
          14	           5	       1 / 1	 00:00:14,09	 00:00:14,09	 00:01:42,49	    DSCA K&Q	           0	           0
           6	           6	       0 / 0	 00:00:12,73	 00:00:12,73	 00:01:43,29	S-Slot Racing	           0	           0
