        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	13:35:24
           6	           1	           #	 00:00:11,91	           #	 00:00:12,04	      DSCA 2	8006049F000100A08C
           2	           1	           #	 00:00:12,31	           #	 00:00:12,30	      Brenzu	800204C6000100AB10
           3	           1	       1 / 1	 00:00:12,22	           #	 00:00:12,31	      DSCA 1	800304BD000100AF10
           7	           1	       1 / 1	 00:00:12,39	           #	 00:00:12,35	         DTM	800704CE000100968C
           1	           1	       1 / 1	 00:00:12,46	           #	 00:00:12,59	D&T Racing Team	800104D5000100958C
           8	           1	       1 / 1	 00:00:12,25	           #	 00:00:12,66	    WK Power	800804C0000100A68C
          18	           1	       1 / 1	 00:00:12,73	           #	 00:00:12,80	    DSCA 50+	801204F00001009710
          14	           1	       1 / 1	 00:00:12,95	           #	 00:00:13,04	         Y&T	800E05060001009812
           4	           1	           #	 00:00:13,50	           #	 00:00:13,52	Tridente Corse	8004053C000100A210
          11	           1	           #	 00:00:14,11	           #	 00:00:14,21	    Slotshop	800B0579000100938C
           3	           1	       1 / 1	 00:00:17,78	 00:00:17,78	 00:00:29,97	      DSCA 1	800306E5000200A18C
           6	           1	       1 / 1	 00:00:17,86	 00:00:17,86	 00:00:30,00	      DSCA 2	800606ED000200A010
           7	           1	       1 / 1	 00:00:18,04	 00:00:18,04	 00:00:30,61	         DTM	800706FF000200C012
           8	           1	       0 / 0	 00:00:18,01	 00:00:18,01	 00:00:30,32	    WK Power	800806FC0002009312
          18	           1	       1 / 1	 00:00:18,67	 00:00:18,67	 00:00:31,36	    DSCA 50+	8012073D000200A610
           1	           1	       0 / 0	 00:00:18,61	 00:00:18,61	 00:00:31,15	D&T Racing Team	80010738000200A512
          14	           1	       1 / 1	 00:00:18,71	 00:00:18,71	 00:00:31,90	         Y&T	800E0741000200A48C
           4	           1	       0 / 0	 00:00:18,43	 00:00:18,43	 00:00:32,07	Tridente Corse	80040726000200AE10
          11	           1	       1 / 1	 00:00:18,34	 00:00:18,34	 00:00:32,46	    Slotshop	800B071D000200878C
           2	           1	       1 / 1	 00:00:22,03	 00:00:22,03	 00:00:34,45	      Brenzu	8002088B000200A410
           6	           2	       0 / 0	 00:00:16,34	 00:00:16,34	 00:00:46,16	      DSCA 2	80060656000300C58C
           3	           2	       1 / 1	 00:00:16,39	 00:00:16,39	 00:00:46,43	      DSCA 1	8003065B000300CC10
