        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	11:29:55
           2	           1	           #	 00:00:01,06	           #	 00:00:01,28	        DSCA	8002006A000100BA10
           9	           1	       1 / 1	 00:00:03,36	           #	 00:00:04,06	         DIT	8009014E000100B612
           1	           1	       1 / 1	 00:00:04,55	           #	 00:00:04,86	SRC EIndhoven	800101C4000100D18C
           6	           1	       1 / 1	 00:00:05,20	           #	 00:00:05,21	      EXILES	800602050001008010
          16	           1	       1 / 1	 00:00:05,08	           #	 00:00:05,33	SlotRace Friends	801001F9000100B612
          15	           1	       1 / 1	 00:00:05,62	           #	 00:00:05,92	         DTM	800F022E0001008F12
           5	           1	       1 / 1	 00:00:07,05	           #	 00:00:07,30	Happy Family	800502BC0001008012
          13	           1	       1 / 1	 00:00:07,75	           #	 00:00:08,00	      DSCA 2	800D0302000100D010
           7	           1	       1 / 1	 00:00:08,38	           #	 00:00:08,51	Global Racing	80070340000100A510
           3	           1	       1 / 1	 00:00:09,10	           #	 00:00:09,37	International Racers	80030388000100F58C
           4	           1	       1 / 1	 00:00:11,41	           #	 00:00:11,48	    WK Power	8004046D0001008010
          19	           1	       1 / 1	 00:00:11,91	           #	 00:00:11,97	         H&B	8013049F000100808C
          14	           1	       1 / 1	 00:00:14,05	           #	 00:00:14,29	Prospeed Slotracing	800E0573000100CD10
          12	           1	       1 / 1	 00:00:14,67	           #	 00:00:14,87	Sportscarazing	800C05B0000100BA10
           2	           1	       1 / 1	 00:00:14,59	 00:00:14,59	 00:00:15,95	        DSCA	800205A9000200C88C
           1	           1	       1 / 1	 00:00:13,40	 00:00:13,40	 00:00:18,03	SRC EIndhoven	800105320002008010
           9	           1	       1 / 1	 00:00:14,64	 00:00:14,64	 00:00:18,43	         DIT	800905AE0002009912
          16	           1	       1 / 1	 00:00:13,34	 00:00:13,34	 00:00:18,50	SlotRace Friends	8010052C000200A512
           6	           1	       1 / 1	 00:00:13,40	 00:00:13,40	 00:00:18,68	      EXILES	80060532000200A48C
          15	           1	       1 / 1	 00:00:13,34	 00:00:13,34	 00:00:19,09	         DTM	800F052C000200898C
          13	           1	       1 / 1	 00:00:12,67	 00:00:12,67	 00:00:20,56	      DSCA 2	810D04EA000200C48A
           5	           1	       1 / 1	 00:00:14,08	 00:00:14,08	 00:00:21,36	Happy Family	800505760002008012
           3	           1	       1 / 1	 00:00:12,61	 00:00:12,61	 00:00:21,94	International Racers	800304E4000200ED10
