        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	11:22:06
           1	           0	           #	 00:00:00,00	           #	 00:01:52,59	SRC EIndhoven	800100000000008000
           2	           0	       1 / 1	 00:00:00,00	           #	 00:01:52,59	        DSCA	800200000000008010
           3	           0	       1 / 1	 00:00:00,00	           #	 00:01:52,59	International Racers	800300000000008010
           4	           0	       1 / 1	 00:00:00,00	           #	 00:01:52,59	    WK Power	800400000000008000
           5	           0	       1 / 1	 00:00:00,00	           #	 00:01:52,59	Happy Family	800500000000008012
           6	           0	       1 / 1	 00:00:00,00	           #	 00:01:52,59	      EXILES	800600000000008010
           7	           0	       1 / 1	 00:00:00,00	           #	 00:01:52,59	Global Racing	800700000000008010
          12	           0	       0 / 0	 00:00:00,00	           #	 00:01:52,59	Sportscarazing	800C00000000008010
          13	           0	       0 / 0	 00:00:00,00	           #	 00:01:52,59	      DSCA 2	800D00000000008000
          14	           0	       0 / 0	 00:00:00,00	           #	 00:01:52,59	Prospeed Slotracing	800E00000000008000
          15	           0	       0 / 0	 00:00:00,00	           #	 00:01:52,59	         DTM	800F00000000008000
          16	           0	       0 / 0	 00:00:00,00	           #	 00:01:52,59	Slotrace Friends	801000000000008010
          19	           0	       0 / 0	 00:00:00,00	           #	 00:01:52,59	         H&B	801300000000008010
           3	           1	       0 / 0	 00:00:15,53	           #	 00:00:15,54	International Racers	800306060001009D8C
           2	           1	       1 / 1	 00:00:15,70	           #	 00:00:15,83	        DSCA	80020617000100978C
          15	           1	       1 / 1	 00:00:15,92	           #	 00:00:15,98	         DTM	800F062D000100808C
           7	           1	       1 / 1	 00:00:16,00	           #	 00:00:16,17	Global Racing	800706340001009E10
          16	           1	       1 / 1	 00:00:16,03	           #	 00:00:16,28	Slotrace Friends	80100637000100CB10
           4	           1	       1 / 1	 00:00:16,24	           #	 00:00:16,44	    WK Power	8004064C000100848C
          12	           1	       1 / 1	 00:00:16,44	           #	 00:00:16,54	Sportscarazing	800C0660000100B38A
          19	           1	       1 / 1	 00:00:16,50	           #	 00:00:16,63	         H&B	80130666000100848C
          13	           1	       1 / 1	 00:00:16,89	           #	 00:00:16,85	      DSCA 2	800D068D0001008010
           1	           1	       1 / 1	 00:00:16,83	           #	 00:00:17,01	SRC EIndhoven	80010687000100948C
           6	           1	       1 / 1	 00:00:16,95	           #	 00:00:17,06	      EXILES	80060693000100808C
          14	           1	       1 / 1	 00:00:17,35	           #	 00:00:17,46	Prospeed Slotracing	800E06BA0001009510
           5	           1	       1 / 1	 00:00:17,42	           #	 00:00:17,65	Happy Family	800506C1000100808C
           3	           1	       1 / 1	 00:00:19,62	 00:00:19,62	 00:00:35,29	International Racers	8003079C000200A810
           2	           1	       1 / 1	 00:00:19,71	 00:00:19,71	 00:00:35,58	        DSCA	800207A50002009E8C
           7	           1	       1 / 1	 00:00:19,45	 00:00:19,45	 00:00:35,63	Global Racing	8007078B000200998C
          15	           1	       1 / 1	 00:00:19,75	 00:00:19,75	 00:00:35,73	         DTM	800F07A9000200808C
          16	           1	       1 / 1	 00:00:19,71	 00:00:19,71	 00:00:35,74	Slotrace Friends	801007A5000200908C
          19	           1	       1 / 1	 00:00:19,27	 00:00:19,27	 00:00:35,79	         H&B	80130779000200A38C
           4	           1	       1 / 1	 00:00:19,84	 00:00:19,84	 00:00:36,19	    WK Power	800407B20002009410
           1	           1	       0 / 0	 00:00:19,15	 00:00:19,15	 00:00:36,16	SRC EIndhoven	8001076D000200A08C
          14	           1	       1 / 1	 00:00:19,12	 00:00:19,12	 00:00:36,61	Prospeed Slotracing	800E076A0002008610
           5	           1	       1 / 1	 00:00:19,42	 00:00:19,42	 00:00:36,80	Happy Family	80050788000200808C
           6	           1	       0 / 0	 00:00:19,42	 00:00:19,42	 00:00:36,51	      EXILES	800607880002009D8C
          12	           1	       1 / 1	 00:00:19,96	 00:00:19,96	 00:00:36,89	Sportscarazing	800C07BE000200B88A
          13	           1	       1 / 1	 00:00:19,81	 00:00:19,81	 00:00:36,90	      DSCA 2	800D07AF000200808C
           3	           2	       0 / 0	 00:00:17,78	 00:00:17,78	 00:00:52,94	International Racers	800306E5000300AE8C
           2	           2	       1 / 1	 00:00:17,77	 00:00:17,77	 00:00:53,23	        DSCA	800206E4000300CB10
           7	           2	       1 / 1	 00:00:17,92	 00:00:17,92	 00:00:53,28	Global Racing	800706F30003008810
          15	           2	       1 / 1	 00:00:17,77	 00:00:17,77	 00:00:53,38	         DTM	800F06E40003008F12
          19	           2	       1 / 1	 00:00:17,72	 00:00:17,72	 00:00:53,44	         H&B	801306DF0003008010
          16	           2	       1 / 1	 00:00:17,81	 00:00:17,81	 00:00:53,69	Slotrace Friends	801006E8000300A710
           1	           2	       1 / 1	 00:00:17,74	 00:00:17,74	 00:00:53,82	SRC EIndhoven	800106E1000300AF8C
           4	           2	       1 / 1	 00:00:17,69	 00:00:17,69	 00:00:53,85	    WK Power	800406DC000300B18C
          12	           2	       1 / 1	 00:00:17,50	 00:00:17,50	 00:00:53,95	Sportscarazing	800C06C9000300BD8A
           6	           2	       1 / 1	 00:00:17,83	 00:00:17,83	 00:00:54,17	      EXILES	800606EA000300878C
          13	           2	       1 / 1	 00:00:17,44	 00:00:17,44	 00:00:54,26	      DSCA 2	800D06C3000300BE8C
          14	           2	       1 / 1	 00:00:17,86	 00:00:17,86	 00:00:54,27	Prospeed Slotracing	800E06ED000300808C
           5	           2	       1 / 1	 00:00:17,54	 00:00:17,54	 00:00:54,46	Happy Family	800506CD0003009412
           3	           3	       0 / 0	 00:00:12,11	 00:00:12,11	 00:01:05,21	International Racers	800304B2000400D58C
           7	           3	       1 / 1	 00:00:12,82	 00:00:12,82	 00:01:06,15	Global Racing	800704F9000400B68C
          16	           3	       1 / 1	 00:00:12,61	 00:00:12,61	 00:01:06,26	Slotrace Friends	801004E4000400D510
           1	           3	       1 / 1	 00:00:12,53	 00:00:12,53	 00:01:06,39	SRC EIndhoven	800104DC000400B78C
           4	           3	       1 / 1	 00:00:13,29	 00:00:13,29	 00:01:07,02	    WK Power	80040528000400958C
           2	           3	       1 / 1	 00:00:14,62	 00:00:14,62	 00:01:07,90	        DSCA	800205AC0004008010
          12	           3	       1 / 1	 00:00:14,11	 00:00:14,11	 00:01:08,01	Sportscarazing	800C0579000400C910
          15	           3	       1 / 1	 00:00:14,44	 00:00:14,44	 00:01:08,04	         DTM	800F059A000400B812
           6	           3	       1 / 1	 00:00:14,42	 00:00:14,42	 00:01:08,53	      EXILES	800605980004008F10
          14	           3	       1 / 1	 00:00:14,30	 00:00:14,30	 00:01:08,63	Prospeed Slotracing	800E058C000400808C
          13	           3	       1 / 1	 00:00:15,79	 00:00:15,79	 00:01:09,82	      DSCA 2	800D06200004008010
          19	           3	       1 / 1	 00:00:16,54	 00:00:16,54	 00:01:10,50	         H&B	8013066A000400D88C
           5	           3	       1 / 1	 00:00:17,63	 00:00:17,54	 00:01:12,11	Happy Family	800506D6000400B612
           3	           4	       0 / 0	 00:00:11,77	 00:00:11,77	 00:01:16,88	International Racers	80030491000500D98C
           1	           4	       1 / 1	 00:00:12,35	 00:00:12,35	 00:01:18,66	SRC EIndhoven	800104CA000500C48C
           7	           4	       1 / 1	 00:00:12,47	 00:00:12,47	 00:01:18,72	Global Racing	800704D6000500C68C
          16	           4	       1 / 1	 00:00:12,68	 00:00:12,61	 00:01:18,83	Slotrace Friends	801004EB000500BB8C
           4	           4	       1 / 1	 00:00:12,77	 00:00:12,77	 00:01:19,89	    WK Power	800404F4000500DF8C
          12	           4	       1 / 1	 00:00:12,92	 00:00:12,92	 00:01:20,88	Sportscarazing	800C0503000500B610
          15	           4	       1 / 1	 00:00:13,40	 00:00:13,40	 00:01:21,21	         DTM	800F0532000500BB8C
           2	           4	       1 / 1	 00:00:13,55	 00:00:13,55	 00:01:21,36	        DSCA	800205410005008110
           6	           4	       1 / 1	 00:00:13,69	 00:00:13,69	 00:01:22,60	      EXILES	8006054F000500CB10
          14	           4	       1 / 1	 00:00:13,90	 00:00:13,90	 00:01:22,70	Prospeed Slotracing	800E0564000500BE10
          13	           4	       1 / 1	 00:00:14,06	 00:00:14,06	 00:01:23,89	      DSCA 2	800D05740005008010
          19	           4	       1 / 1	 00:00:14,72	 00:00:14,72	 00:01:24,86	         H&B	801305B5000500DA10
           3	           5	       0 / 0	 00:00:11,95	 00:00:11,77	 00:01:28,85	International Racers	800304A3000600D48C
           7	           5	       1 / 1	 00:00:12,65	 00:00:12,47	 00:01:31,29	Global Racing	800704E8000600CC8C
          16	           5	       1 / 1	 00:00:12,76	 00:00:12,61	 00:01:31,70	Slotrace Friends	801004F3000600DA8C
           4	           5	       1 / 1	 00:00:12,71	 00:00:12,71	 00:01:32,45	    WK Power	800404EE000600B010
           5	           4	       2 / 1	 00:00:20,38	 00:00:17,54	 00:01:32,46	Happy Family	800507E70005008012
          12	           5	       1 / 1	 00:00:12,61	 00:00:12,61	 00:01:33,45	Sportscarazing	800C04E4000600CA8A
          15	           5	       1 / 1	 00:00:12,29	 00:00:12,29	 00:01:33,48	         DTM	800F04C4000600BE8C
           1	           5	       1 / 1	 00:00:14,93	 00:00:12,35	 00:01:33,62	SRC EIndhoven	800105CA000600BA10
           2	           5	       1 / 1	 00:00:12,62	 00:00:12,62	 00:01:33,93	        DSCA	800204E5000600C08C
           6	           5	       1 / 1	 00:00:12,70	 00:00:12,70	 00:01:35,17	      EXILES	800604ED000600C28C
          14	           5	       1 / 1	 00:00:12,74	 00:00:12,74	 00:01:35,27	Prospeed Slotracing	800E04F1000600AF8C
          13	           5	       1 / 1	 00:00:13,36	 00:00:13,36	 00:01:37,35	      DSCA 2	800D052E000600AF8C
          19	           5	       1 / 1	 00:00:12,68	 00:00:12,68	 00:01:37,43	         H&B	801304EB000600DC8C
           3	           6	       0 / 0	 00:00:11,95	 00:00:11,77	 00:01:40,82	International Racers	800304A3000700E910
           7	           6	       1 / 1	 00:00:12,29	 00:00:12,29	 00:01:43,56	Global Racing	800704C4000700DA10
          16	           6	       1 / 1	 00:00:12,32	 00:00:12,32	 00:01:43,97	Slotrace Friends	801004C7000700D710
           4	           6	       1 / 1	 00:00:12,58	 00:00:12,58	 00:01:45,02	    WK Power	800404E1000700898C
          12	           6	       1 / 1	 00:00:12,44	 00:00:12,44	 00:01:46,02	Sportscarazing	800C04D3000700CD10
           2	           6	       1 / 1	 00:00:12,44	 00:00:12,44	 00:01:46,50	        DSCA	800204D3000700B910
           1	           6	       1 / 1	 00:00:13,72	 00:00:12,35	 00:01:47,09	SRC EIndhoven	80010552000700AD10
           5	           5	       2 / 1	 00:00:14,62	 00:00:14,62	 00:01:47,13	Happy Family	800505AC000600E412
           6	           6	       1 / 1	 00:00:12,71	 00:00:12,70	 00:01:47,74	      EXILES	800604EE000700C58C
          14	           6	       1 / 1	 00:00:12,73	 00:00:12,73	 00:01:48,13	Prospeed Slotracing	800E04F0000700D18C
          19	           6	       1 / 1	 00:00:12,31	 00:00:12,31	 00:01:49,70	         H&B	801304C6000700D88C
          15	           6	       1 / 1	 00:00:16,90	 00:00:12,29	 00:01:50,54	         DTM	800F068E000700D012
          13	           6	       1 / 1	 00:00:13,50	 00:00:13,36	 00:01:50,82	      DSCA 2	800D053C000700BA8C
           3	           7	       0 / 0	 00:00:11,48	 00:00:11,48	 00:01:52,19	International Racers	80030474000800DD8C
           7	           7	       1 / 1	 00:00:11,86	 00:00:11,86	 00:01:55,53	Global Racing	8007049A000800E68C
          16	           7	       1 / 1	 00:00:12,29	 00:00:12,29	 00:01:56,23	Slotrace Friends	801004C4000800D910
           4	           7	       1 / 1	 00:00:12,47	 00:00:12,47	 00:01:57,59	    WK Power	800404D6000800E58C
          12	           7	       1 / 1	 00:00:12,58	 00:00:12,44	 00:01:58,59	Sportscarazing	800C04E1000800D38A
           2	           7	       1 / 1	 00:00:12,49	 00:00:12,44	 00:01:58,77	        DSCA	800204D80008008F10
           1	           7	       1 / 1	 00:00:12,96	 00:00:12,35	 00:02:00,25	SRC EIndhoven	80010507000800DD8C
           6	           7	       1 / 1	 00:00:13,37	 00:00:12,70	 00:02:01,20	      EXILES	8006052F000800BA8C
          14	           7	       1 / 1	 00:00:13,22	 00:00:12,73	 00:02:01,30	Prospeed Slotracing	800E05210008009610
          19	           7	       1 / 1	 00:00:12,29	 00:00:12,29	 00:02:01,97	         H&B	801304C4000800DE8C
           5	           6	       2 / 1	 00:00:15,25	 00:00:14,62	 00:02:02,09	Happy Family	800505EA0007008C8C
          15	           7	       1 / 1	 00:00:12,32	 00:00:12,29	 00:02:02,81	         DTM	800F04C7000800D012
           3	           8	       0 / 0	 00:00:11,83	 00:00:11,48	 00:02:03,87	International Racers	80030497000900CB8C
          13	           7	       2 / 1	 00:00:13,23	 00:00:13,23	 00:02:04,28	      DSCA 2	800D0522000800D610
           7	           8	       1 / 1	 00:00:12,14	 00:00:11,86	 00:02:07,50	Global Racing	800704B5000900C98C
          16	           8	       1 / 1	 00:00:12,14	 00:00:12,14	 00:02:08,20	Slotrace Friends	801004B50009008910
           4	           8	       1 / 1	 00:00:12,35	 00:00:12,35	 00:02:09,86	    WK Power	800404CA000900E58C
           2	           8	       1 / 1	 00:00:12,38	 00:00:12,38	 00:02:11,34	        DSCA	800204CD000900B78C
          12	           8	       1 / 1	 00:00:12,94	 00:00:12,44	 00:02:12,05	Sportscarazing	800C0505000900FF8A
           1	           8	       1 / 1	 00:00:12,51	 00:00:12,35	 00:02:13,42	SRC EIndhoven	800104DA000900808C
           6	           8	       1 / 1	 00:00:12,56	 00:00:12,56	 00:02:13,47	      EXILES	800604DF000900808C
          14	           8	       1 / 1	 00:00:12,70	 00:00:12,70	 00:02:13,87	Prospeed Slotracing	800E04ED000900B48C
          19	           8	       1 / 1	 00:00:11,93	 00:00:11,93	 00:02:13,94	         H&B	801304A1000900E18C
          15	           8	       1 / 1	 00:00:12,61	 00:00:12,29	 00:02:15,38	         DTM	800F04E4000900BF12
           3	           9	       0 / 0	 00:00:12,11	 00:00:11,48	 00:02:16,13	International Racers	800304B2000A00D610
           5	           7	       3 / 1	 00:00:14,24	 00:00:14,24	 00:02:16,45	Happy Family	80050586000800CF8C
          13	           8	       2 / 1	 00:00:13,22	 00:00:13,22	 00:02:17,15	      DSCA 2	800D05210009008310
           7	           9	       1 / 1	 00:00:12,41	 00:00:11,86	 00:02:19,77	Global Racing	800704D0000A00948C
          16	           9	       1 / 1	 00:00:12,02	 00:00:12,02	 00:02:20,17	Slotrace Friends	801004A9000A00808C
           4	           9	       1 / 1	 00:00:12,61	 00:00:12,35	 00:02:22,43	    WK Power	800404E4000A00BE10
           2	           9	       1 / 1	 00:00:12,44	 00:00:12,38	 00:02:23,61	        DSCA	800204D3000A00AE8C
          12	           9	       1 / 1	 00:00:12,57	 00:00:12,44	 00:02:24,02	Sportscarazing	800C04E0000A00CF10
           1	           9	       1 / 1	 00:00:12,29	 00:00:12,29	 00:02:24,79	SRC EIndhoven	800104C4000A008010
          19	           9	       1 / 1	 00:00:11,86	 00:00:11,86	 00:02:25,61	         H&B	8013049A000A00808C
          14	           9	       1 / 1	 00:00:12,74	 00:00:12,70	 00:02:26,74	Prospeed Slotracing	800E04F1000A00D48C
           3	          10	       0 / 0	 00:00:11,81	 00:00:11,48	 00:02:27,81	International Racers	80030495000B00E08C
          15	           9	       2 / 1	 00:00:12,47	 00:00:12,29	 00:02:27,95	         DTM	800F04D6000A00E012
           5	           8	       3 / 1	 00:00:13,91	 00:00:13,91	 00:02:30,22	Happy Family	820505650009008012
          13	           9	       2 / 1	 00:00:13,18	 00:00:13,18	 00:02:30,62	      DSCA 2	800D051D000A00AA10
           7	          10	       1 / 1	 00:00:12,20	 00:00:11,86	 00:02:32,03	Global Racing	800704BB000B008010
           6	           9	       2 / 1	 00:00:18,42	 00:00:12,56	 00:02:32,32	      EXILES	80060725000A00C28C
          16	          10	       1 / 1	 00:00:12,23	 00:00:12,02	 00:02:32,44	Slotrace Friends	801004BE000B009F8C
           4	          10	       1 / 1	 00:00:12,32	 00:00:12,32	 00:02:34,70	    WK Power	800404C7000B00AB8C
           2	          10	       1 / 1	 00:00:12,25	 00:00:12,25	 00:02:35,88	        DSCA	800204C0000B00B28C
          12	          10	       1 / 1	 00:00:12,22	 00:00:12,22	 00:02:36,29	Sportscarazing	800C04BD000B00D110
           1	          10	       1 / 1	 00:00:12,26	 00:00:12,26	 00:02:37,06	SRC EIndhoven	800104C1000B00C48C
          19	          10	       1 / 1	 00:00:11,95	 00:00:11,86	 00:02:37,58	         H&B	801304A3000B00808C
          14	          10	       1 / 1	 00:00:12,40	 00:00:12,40	 00:02:39,31	Prospeed Slotracing	800E04CF000B00DB8C
           3	          11	       0 / 0	 00:00:11,56	 00:00:11,48	 00:02:39,48	International Racers	8003047C000C00E010
          15	          10	       2 / 1	 00:00:12,26	 00:00:12,26	 00:02:40,21	         DTM	800F04C1000B00CB8C
           7	          11	       1 / 1	 00:00:11,92	 00:00:11,86	 00:02:44,00	Global Racing	800704A0000C00DB10
          13	          10	       2 / 1	 00:00:13,60	 00:00:13,18	 00:02:44,08	      DSCA 2	800D0546000B00B48C
          16	          11	       1 / 1	 00:00:12,17	 00:00:12,02	 00:02:44,71	Slotrace Friends	801004B8000C00CF10
           6	          10	       2 / 1	 00:00:12,92	 00:00:12,56	 00:02:45,19	      EXILES	80060503000B00DF10
           5	           9	       3 / 2	 00:00:16,32	 00:00:13,91	 00:02:46,68	Happy Family	80050654000A00D912
           4	          11	       1 / 1	 00:00:12,43	 00:00:12,32	 00:02:47,27	    WK Power	800404D2000C00D710
